"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","source_file","source_row","data_status"
"-2.3661","110.6639","332.7","1.5","1.2","2026-01-16","0730","Aqua","MODIS","86","61.03","294.7","50.1","D","0","fire_archive_M-C61_803220.csv","163","standard"
"-1.5627","110.8266","335.4","1.4","1.2","2026-01-16","0730","Aqua","MODIS","88","61.03","295.3","53.8","D","0","fire_archive_M-C61_803220.csv","192","standard"
"-2.1992","110.7353","336.7","1","1","2026-01-19","0747","Aqua","MODIS","89","61.03","297.3","31.8","D","0","fire_archive_M-C61_803220.csv","351","standard"
"-2.6196","110.962","329.5","1","1","2026-01-19","0747","Aqua","MODIS","83","61.03","296.6","23.3","D","0","fire_archive_M-C61_803220.csv","352","standard"
"-0.8866","110.2371","336","1","1","2026-01-19","0747","Aqua","MODIS","89","61.03","293.5","32.9","D","0","fire_archive_M-C61_803220.csv","368","standard"
"-0.5126","109.9618","326.4","1","1","2026-01-19","0747","Aqua","MODIS","84","61.03","279.7","23.8","D","0","fire_archive_M-C61_803220.csv","370","standard"
"-1.9959","110.4637","324.1","1.5","1.2","2026-01-22","0803","Aqua","MODIS","80","61.03","291.8","26.4","D","0","fire_archive_M-C61_803220.csv","468","standard"
"-1.4153","110.1211","319.9","1.1","1","2026-01-24","0742","Aqua","MODIS","80","61.03","290.3","15.6","D","0","fire_archive_M-C61_803220.csv","582","standard"
"-2.4995","110.249","328.2","1.4","1.2","2026-02-09","0805","Aqua","MODIS","82","61.03","294.3","31.6","D","0","fire_archive_M-C61_803220.csv","1179","standard"
"-2.4373","110.4326","354.2","1.1","1","2026-02-11","0743","Aqua","MODIS","97","61.03","301.1","74.1","D","0","fire_archive_M-C61_803220.csv","1278","standard"
"-2.4268","110.4408","361.6","1.1","1","2026-02-11","0743","Aqua","MODIS","100","61.03","299","94.3","D","0","fire_archive_M-C61_803220.csv","1280","standard"
"-2.4281","110.4313","351.9","1.1","1","2026-02-11","0743","Aqua","MODIS","96","61.03","300.2","66.8","D","0","fire_archive_M-C61_803220.csv","1281","standard"
