"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","source_file","source_row","data_status"
"-2.6881","110.2837","321.8","1","1","2026-01-14","0751","Aqua","MODIS","0","61.03","269","21.9","D","0","fire_archive_M-C61_803220.csv",84,"standard"
"-1.4066","110.4454","314.2","1.5","1.2","2026-01-16","0730","Aqua","MODIS","69","61.03","294.4","15.1","D","0","fire_archive_M-C61_803220.csv",142,"standard"
"-2.764","110.3849","310.9","1.6","1.2","2026-01-16","0730","Aqua","MODIS","55","61.03","292.3","9","D","0","fire_archive_M-C61_803220.csv",156,"standard"
"-2.3661","110.6639","332.7","1.5","1.2","2026-01-16","0730","Aqua","MODIS","86","61.03","294.7","50.1","D","0","fire_archive_M-C61_803220.csv",163,"standard"
"-2.368","110.6506","322","1.5","1.2","2026-01-16","0730","Aqua","MODIS","77","61.03","294.7","27","D","0","fire_archive_M-C61_803220.csv",164,"standard"
"-2.0672","110.5222","324.3","1.5","1.2","2026-01-16","0730","Aqua","MODIS","79","61.03","295.1","31.9","D","0","fire_archive_M-C61_803220.csv",167,"standard"
"-2.0691","110.5087","316.6","1.5","1.2","2026-01-16","0730","Aqua","MODIS","71","61.03","294.8","17.8","D","0","fire_archive_M-C61_803220.csv",168,"standard"
"-1.5627","110.8266","335.4","1.4","1.2","2026-01-16","0730","Aqua","MODIS","88","61.03","295.3","53.8","D","0","fire_archive_M-C61_803220.csv",192,"standard"
"-2.1992","110.7353","336.7","1","1","2026-01-19","0747","Aqua","MODIS","89","61.03","297.3","31.8","D","0","fire_archive_M-C61_803220.csv",351,"standard"
"-2.6196","110.962","329.5","1","1","2026-01-19","0747","Aqua","MODIS","83","61.03","296.6","23.3","D","0","fire_archive_M-C61_803220.csv",352,"standard"
"-2.4389","111.0569","312.1","1","1","2026-01-19","0747","Aqua","MODIS","62","61.03","295.1","5.2","D","0","fire_archive_M-C61_803220.csv",353,"standard"
"-0.8866","110.2371","336","1","1","2026-01-19","0747","Aqua","MODIS","89","61.03","293.5","32.9","D","0","fire_archive_M-C61_803220.csv",368,"standard"
"-0.7763","110.2943","310.1","1","1","2026-01-19","0747","Aqua","MODIS","63","61.03","290.8","5.5","D","0","fire_archive_M-C61_803220.csv",369,"standard"
"-0.5126","109.9618","326.4","1","1","2026-01-19","0747","Aqua","MODIS","84","61.03","279.7","23.8","D","0","fire_archive_M-C61_803220.csv",370,"standard"
"-0.5139","109.9531","302.9","1","1","2026-01-19","0747","Aqua","MODIS","53","61.03","279.9","4.1","D","0","fire_archive_M-C61_803220.csv",371,"standard"
"-0.5358","110.1095","305.7","2","1.4","2026-01-21","0726","Aqua","MODIS","0","61.03","268.9","18.5","D","0","fire_archive_M-C61_803220.csv",432,"standard"
"-1.9959","110.4637","324.1","1.5","1.2","2026-01-22","0803","Aqua","MODIS","80","61.03","291.8","26.4","D","0","fire_archive_M-C61_803220.csv",468,"standard"
"-2.1579","110.1197","304.1","1.4","1.2","2026-01-22","0803","Aqua","MODIS","17","61.03","273.2","6.7","D","0","fire_archive_M-C61_803220.csv",469,"standard"
"-0.7465","110.397","305.7","1","1","2026-01-24","0742","Aqua","MODIS","62","61.03","282.5","5.6","D","0","fire_archive_M-C61_803220.csv",580,"standard"
"-1.4166","110.1116","311","1.1","1","2026-01-24","0742","Aqua","MODIS","70","61.03","290.1","6.9","D","0","fire_archive_M-C61_803220.csv",581,"standard"
"-1.4153","110.1211","319.9","1.1","1","2026-01-24","0742","Aqua","MODIS","80","61.03","290.3","15.6","D","0","fire_archive_M-C61_803220.csv",582,"standard"
"-2.4159","110.9898","316.7","1","1","2026-01-24","0742","Aqua","MODIS","66","61.03","300.3","7.9","D","0","fire_archive_M-C61_803220.csv",585,"standard"
"-1.4525","110.5645","304.1","2.4","1.5","2026-01-26","0721","Aqua","MODIS","58","61.03","281.9","14.3","D","0","fire_archive_M-C61_803220.csv",743,"standard"
"-1.5778","110.7401","322.9","1.2","1.1","2026-01-29","0737","Aqua","MODIS","78","61.03","295.7","20.2","D","0","fire_archive_M-C61_803220.csv",849,"standard"
"-2.3151","111.0479","309.5","1.2","1.1","2026-01-29","0737","Aqua","MODIS","55","61.03","276.4","9.8","D","0","fire_archive_M-C61_803220.csv",855,"standard"
"-1.6001","110.7855","314","1.2","1.1","2026-01-29","0737","Aqua","MODIS","66","61.03","296.3","8.2","D","0","fire_archive_M-C61_803220.csv",859,"standard"
"-2.2352","110.1155","310.2","1","1","2026-02-01","0754","Aqua","MODIS","30","61.03","279.2","7","D","0","fire_archive_M-C61_803220.csv",957,"standard"
"-1.2936","110.5412","309.3","1.1","1","2026-02-01","0754","Aqua","MODIS","63","61.03","289.9","4.2","D","0","fire_archive_M-C61_803220.csv",959,"standard"
"-2.5013","110.2372","316.2","1.4","1.2","2026-02-09","0805","Aqua","MODIS","52","61.03","294.1","11.9","D","0","fire_archive_M-C61_803220.csv",1178,"standard"
"-2.4995","110.249","328.2","1.4","1.2","2026-02-09","0805","Aqua","MODIS","82","61.03","294.3","31.6","D","0","fire_archive_M-C61_803220.csv",1179,"standard"
