latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
0.4837,128.0044,304.2,1.2,1.1,2026-01-01,1825,Aqua,MODIS,59,61.03,289.6,5.6,N,2
0.5124,127.8932,307.1,1.2,1.1,2026-01-02,0043,Terra,MODIS,40,61.03,286.4,5.5,D,0
-8.2745,123.5095,310,1,1,2026-01-02,0045,Terra,MODIS,62,61.03,288,7.1,D,1
-1.3441,122.0037,305,1.4,1.2,2026-01-02,0644,Aqua,MODIS,56,61.03,284.5,6.1,D,0
-2.0149,121.4219,313.5,1.6,1.2,2026-01-02,0644,Aqua,MODIS,72,61.03,291.2,13.7,D,2
0.3535,120.1631,311.5,1.8,1.3,2026-01-02,0645,Aqua,MODIS,60,61.03,278.7,20,D,0
-2.0132,121.4176,306.5,1,1,2026-01-02,1302,Terra,MODIS,42,61.03,275.2,7.9,N,2
-8.1163,112.9275,340,1,1,2026-01-03,0125,Terra,MODIS,91,61.03,291.8,45,D,1
-8.115,112.9185,319,1,1,2026-01-03,0125,Terra,MODIS,75,61.03,286.9,17.5,D,1
-3.9341,138.5839,305.8,1.2,1.1,2026-01-03,0543,Aqua,MODIS,58,61.03,287.5,7.6,D,0
-3.9656,122.1293,310.1,1,1,2026-01-05,0700,Aqua,MODIS,65,61.03,285.1,5.3,D,0
2.6324,98.0659,311.6,1.1,1.1,2026-01-05,0840,Aqua,MODIS,65,61.03,294,8.1,D,0
1.4119,99.4451,312.1,1.3,1.1,2026-01-05,0840,Aqua,MODIS,61,61.03,292.2,9.4,D,0
1.4136,99.4562,309.5,1.3,1.1,2026-01-05,0840,Aqua,MODIS,51,61.03,292.3,6.2,D,0
4.5417,95.7574,311.1,1,1,2026-01-05,0841,Aqua,MODIS,64,61.03,296,4.5,D,0
-1.4619,127.4392,312.4,1.3,1.1,2026-01-06,1223,Terra,MODIS,79,61.03,279.3,16.7,N,2
-3.1078,101.913,309.7,1,1,2026-01-07,0817,Aqua,MODIS,62,61.03,287.8,5.6,D,0
-2.7085,103.1934,306.9,1,1,2026-01-07,0817,Aqua,MODIS,61,61.03,276.1,6,D,0
-2.6433,103.2491,313.5,1,1,2026-01-07,0817,Aqua,MODIS,0,61.03,288.5,7.2,D,0
-2.6231,103.2642,312,1,1,2026-01-07,0817,Aqua,MODIS,69,61.03,288.8,6.4,D,0
-2.7072,103.2022,316.8,1,1,2026-01-07,0817,Aqua,MODIS,76,61.03,275.6,13.6,D,0
-3.7163,104.2486,312.4,1.1,1,2026-01-07,0817,Aqua,MODIS,65,61.03,292.6,6.6,D,0
-3.5035,104.3791,331.1,1.1,1,2026-01-07,0817,Aqua,MODIS,85,61.03,290.4,27.8,D,0
-3.711,102.4111,315.7,1,1,2026-01-07,0817,Aqua,MODIS,72,61.03,291.4,8.9,D,0
-3.7122,102.4023,312.4,1,1,2026-01-07,0817,Aqua,MODIS,67,61.03,290.6,6.3,D,0
-3.4085,104.3297,313,1.1,1,2026-01-07,0817,Aqua,MODIS,66,61.03,291.4,6.9,D,0
-3.4112,104.3111,311.2,1.1,1,2026-01-07,0817,Aqua,MODIS,43,61.03,289.6,5.5,D,0
-3.3925,104.3752,321.9,1.1,1,2026-01-07,0817,Aqua,MODIS,78,61.03,292,15.2,D,0
-3.3802,104.0239,309.9,1,1,2026-01-07,0817,Aqua,MODIS,61,61.03,288.4,5.7,D,0
-3.2979,104.2694,308.1,1.1,1,2026-01-07,0817,Aqua,MODIS,56,61.03,285.3,4.8,D,0
-3.3141,104.0362,319,1,1,2026-01-07,0817,Aqua,MODIS,76,61.03,289.2,13.1,D,0
-3.3154,104.0271,312.7,1,1,2026-01-07,0817,Aqua,MODIS,68,61.03,290,7.3,D,0
-3.3043,103.9789,307.3,1,1,2026-01-07,0817,Aqua,MODIS,27,61.03,286.3,3.5,D,0
-3.3056,103.9698,315.7,1,1,2026-01-07,0817,Aqua,MODIS,72,61.03,286.3,10.4,D,0
-3.5571,102.1177,318,1,1,2026-01-07,0817,Aqua,MODIS,57,61.03,294.3,10.9,D,0
-3.2205,103.9784,312.7,1,1,2026-01-07,0817,Aqua,MODIS,64,61.03,289.6,7.4,D,0
-2.5194,102.8333,309.1,1,1,2026-01-07,0818,Aqua,MODIS,61,61.03,288.1,4.1,D,0
-2.0108,103.0951,309,1,1,2026-01-07,0818,Aqua,MODIS,58,61.03,288.4,3.9,D,0
-2.0025,102.1503,310.3,1,1,2026-01-07,0818,Aqua,MODIS,60,61.03,293.6,4.9,D,0
-1.7665,102.7445,310,1,1,2026-01-07,0818,Aqua,MODIS,56,61.03,290,5.1,D,0
-8.1137,112.9283,322.6,1,1,2026-01-08,0124,Terra,MODIS,66,61.03,276.1,23.1,D,1
-2.5802,121.3818,314.7,1.4,1.2,2026-01-08,0717,Aqua,MODIS,47,61.03,288.8,14.9,D,2
-1.896,115.8665,309.4,1.1,1,2026-01-08,0718,Aqua,MODIS,63,61.03,283.6,8.5,D,2
-8.1063,112.9312,309.9,1.2,1.1,2026-01-08,1939,Aqua,MODIS,79,61.03,273.3,16.6,N,1
-1.4584,127.4434,310.6,1.2,1.1,2026-01-09,0023,Terra,MODIS,0,61.03,292,9,D,2
-1.5684,127.4319,311.9,1.2,1.1,2026-01-09,0023,Terra,MODIS,45,61.03,296.3,7.5,D,2
-8.2674,123.5042,311.6,1.8,1.3,2026-01-09,0025,Terra,MODIS,44,61.03,279.7,12.9,D,1
-1.5605,127.4246,309.1,1.1,1,2026-01-09,1242,Terra,MODIS,65,61.03,290.2,8.4,N,2
1.499,127.6298,313.8,1.2,1.1,2026-01-09,1243,Terra,MODIS,83,61.03,289.8,15.8,N,1
1.4985,127.6359,317.5,1,1,2026-01-09,1837,Aqua,MODIS,94,61.03,270.7,18.8,N,1
-2.0128,121.4221,307.8,1.1,1,2026-01-10,0103,Terra,MODIS,49,61.03,282.7,6.3,D,2
-2.5786,121.3815,311.9,1.1,1,2026-01-10,0103,Terra,MODIS,72,61.03,293.8,8,D,2
-2.0116,121.4352,321.4,1.1,1,2026-01-10,0656,Aqua,MODIS,40,61.03,302.3,12,D,2
-2.9575,121.473,315.5,1.1,1,2026-01-10,0656,Aqua,MODIS,43,61.03,299.4,8.7,D,0
-2.8361,122.1765,320.8,1,1,2026-01-10,0656,Aqua,MODIS,57,61.03,299.5,7.6,D,2
-2.6833,121.7067,346.7,1.1,1,2026-01-10,0656,Aqua,MODIS,89,61.03,294.2,54.7,D,0
-2.7753,121.0694,311.9,1.1,1.1,2026-01-10,0656,Aqua,MODIS,57,61.03,296.7,7.3,D,0
-2.5825,121.3842,365,1.1,1,2026-01-10,0656,Aqua,MODIS,100,61.03,299.4,106.9,D,2
-2.013,121.4259,319.7,1.1,1,2026-01-10,0656,Aqua,MODIS,38,61.03,300.6,9.5,D,2
-2.0143,121.4166,330,1.1,1,2026-01-10,0656,Aqua,MODIS,82,61.03,302.5,22,D,2
-1.3779,123.3005,311.1,1,1,2026-01-10,0656,Aqua,MODIS,61,61.03,297.3,4.6,D,0
-1.2361,121.6852,319.6,1,1,2026-01-10,0656,Aqua,MODIS,78,61.03,299.6,11.9,D,0
-0.8543,123.2135,315.3,1,1,2026-01-10,0656,Aqua,MODIS,73,61.03,295.9,8.2,D,0
2.2222,117.8363,312,1.5,1.2,2026-01-10,0657,Aqua,MODIS,66,61.03,293.5,10.6,D,0
4.5844,95.6909,316,1,1,2026-01-10,0836,Aqua,MODIS,76,61.03,295.2,8.9,D,0
4.5933,95.6896,311.4,1,1,2026-01-10,0836,Aqua,MODIS,58,61.03,293.9,4.7,D,0
4.6853,95.5674,310.1,1.1,1,2026-01-10,0836,Aqua,MODIS,61,61.03,293.5,5.9,D,0
-1.8117,136.756,301.3,1.8,1.3,2026-01-10,1738,Aqua,MODIS,40,61.03,283.2,9.6,N,0
-6.0035,105.9758,305.4,1,1,2026-01-11,1400,Terra,MODIS,29,61.03,291.4,4.9,N,0
1.0016,102.7055,309.3,1,1,2026-01-12,0814,Aqua,MODIS,36,61.03,292.9,4.5,D,2
4.7016,97.285,303.6,1.8,1.3,2026-01-12,0815,Aqua,MODIS,37,61.03,288,5.5,D,0
-1.8954,115.8581,305,1,1,2026-01-13,0122,Terra,MODIS,40,61.03,283.9,4,D,2
-1.8967,115.867,315.2,1,1,2026-01-13,0122,Terra,MODIS,74,61.03,283.6,11.3,D,2
-6.2161,139.3941,334.5,1.8,1.3,2026-01-13,0533,Aqua,MODIS,88,61.03,290,71.2,D,0
-3.8169,119.9983,310.3,1,1,2026-01-13,0712,Aqua,MODIS,67,61.03,289.6,6.7,D,0
-1.9935,119.3821,307.8,1,1,2026-01-13,0713,Aqua,MODIS,65,61.03,291.4,4.7,D,0
-2.0163,121.4248,316.9,1.2,1.1,2026-01-13,0713,Aqua,MODIS,52,61.03,297.4,10.1,D,2
-0.4164,116.8545,316.8,1.1,1,2026-01-13,0713,Aqua,MODIS,72,61.03,293.8,10.5,D,0
-0.5221,116.1431,335.6,1.2,1.1,2026-01-13,0713,Aqua,MODIS,88,61.03,294.3,39.3,D,0
-0.2614,117.2122,310.8,1,1,2026-01-13,0713,Aqua,MODIS,62,61.03,291.2,5.8,D,0
1.5624,117.1708,304.2,1,1,2026-01-13,0714,Aqua,MODIS,52,61.03,279.2,6.1,D,0
-1.4621,127.4409,317.8,1.2,1.1,2026-01-14,0023,Terra,MODIS,0,61.03,287.1,17.1,D,2
-4.858,105.2392,310.8,1,1,2026-01-14,0202,Terra,MODIS,69,61.03,291.7,5.3,D,0
-2.6881,110.2837,321.8,1,1,2026-01-14,0751,Aqua,MODIS,0,61.03,269,21.9,D,0
0.3817,109.344,320.5,1,1,2026-01-14,0752,Aqua,MODIS,76,61.03,294,12.9,D,0
-0.26,109.3208,312.6,1,1,2026-01-14,0752,Aqua,MODIS,45,61.03,298.4,5.5,D,0
-0.2613,109.3121,314.6,1,1,2026-01-14,0752,Aqua,MODIS,40,61.03,298.7,7.1,D,0
-3.8716,122.3917,300.2,1.4,1.2,2026-01-14,1241,Terra,MODIS,22,61.03,279.9,4.5,N,2
-3.8699,122.4041,303.7,1.4,1.2,2026-01-14,1241,Terra,MODIS,57,61.03,281.4,7.3,N,2
