latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-1.89426,115.86168,316.39,1.63,1.26,2026-05-01,0126,Terra,MODIS,76,6.1NRT,291.95,20.72,D
-1.89682,115.86951,313.03,1.64,1.26,2026-05-01,0126,Terra,MODIS,70,6.1NRT,291.47,13.81,D
-7.56368,112.61422,312.57,1.18,1.08,2026-05-01,0128,Terra,MODIS,61,6.1NRT,297.02,7.41,D
-6.00546,105.98264,312.31,1.58,1.24,2026-05-01,0128,Terra,MODIS,58,6.1NRT,290.46,9.21,D
-2.58044,121.3756,335.25,1.02,1.01,2026-05-01,0714,Aqua,MODIS,89,6.1NRT,285.95,37.35,D
-0.36273,117.33511,308.58,1.6,1.25,2026-05-01,0714,Aqua,MODIS,38,6.1NRT,289.7,7.67,D
-2.0109,121.41753,319.23,1.02,1.01,2026-05-01,0714,Aqua,MODIS,79,6.1NRT,289.36,13.73,D
2.32623,117.92222,309.88,1.32,1.14,2026-05-01,0714,Aqua,MODIS,63,6.1NRT,293.81,7.37,D
2.65994,117.68124,320.73,1.36,1.15,2026-05-01,0714,Aqua,MODIS,79,6.1NRT,295.5,20.42,D
2.66086,117.68655,314.63,1.36,1.15,2026-05-01,0714,Aqua,MODIS,72,6.1NRT,295.56,11.8,D
2.65905,117.67485,312.33,1.36,1.15,2026-05-01,0714,Aqua,MODIS,61,6.1NRT,295.49,8.98,D
3.95063,117.04607,323.36,1.44,1.19,2026-05-01,0714,Aqua,MODIS,80,6.1NRT,295.52,26.91,D
3.95878,117.05208,326.93,1.43,1.18,2026-05-01,0714,Aqua,MODIS,83,6.1NRT,294.61,31.91,D
3.95684,117.03965,338.21,1.44,1.19,2026-05-01,0714,Aqua,MODIS,90,6.1NRT,294.99,58.12,D
0.256,117.45041,312.45,1.54,1.22,2026-05-01,0714,Aqua,MODIS,56,6.1NRT,291.61,11.47,D
0.26668,117.44891,320.85,1.54,1.22,2026-05-01,0714,Aqua,MODIS,73,6.1NRT,292.06,26.03,D
1.35019,116.6087,330.75,1.71,1.28,2026-05-01,0714,Aqua,MODIS,86,6.1NRT,291,55.85,D
1.66551,117.19088,318.83,1.53,1.22,2026-05-01,0714,Aqua,MODIS,78,6.1NRT,295.18,20.76,D
1.66169,117.19876,317.53,1.52,1.22,2026-05-01,0714,Aqua,MODIS,65,6.1NRT,294.74,19.27,D
2.28468,117.91685,313.56,1.33,1.14,2026-05-01,0714,Aqua,MODIS,70,6.1NRT,291.25,11.61,D
4.25223,117.15235,319.74,1.4,1.17,2026-05-01,0716,Aqua,MODIS,77,6.1NRT,294.91,17.8,D
4.23199,117.14956,317.65,1.4,1.17,2026-05-01,0716,Aqua,MODIS,59,6.1NRT,295.65,15.5,D
4.24401,117.16006,330.25,1.4,1.17,2026-05-01,0716,Aqua,MODIS,75,6.1NRT,295.21,34.67,D
-2.56422,102.77008,316,1.8,1.32,2026-05-01,0852,Aqua,MODIS,66,6.1NRT,292.83,19.56,D
4.90892,97.47369,325.42,1.06,1.03,2026-05-01,0854,Aqua,MODIS,79,6.1NRT,288.53,22.51,D
4.80683,97.66273,312.35,1.08,1.04,2026-05-01,0854,Aqua,MODIS,54,6.1NRT,294.58,5.91,D
4.91025,97.48295,324.64,1.06,1.03,2026-05-01,0854,Aqua,MODIS,78,6.1NRT,287.76,21.43,D
-1.56381,127.4284,305.02,1.55,1.23,2026-05-01,1206,Terra,MODIS,11,6.1NRT,290.96,8.66,N
-7.54542,110.44159,300.62,1.13,1.06,2026-05-01,1344,Terra,MODIS,31,6.1NRT,286.64,6.93,N
3.09429,117.25011,302.65,1,1,2026-05-01,1932,Aqua,MODIS,45,6.1NRT,287.72,4.1,N
-1.88599,115.86713,302.22,1.01,1.01,2026-05-01,1934,Aqua,MODIS,48,6.1NRT,284.32,4.23,N
-2.88306,115.25993,304.53,1.04,1.02,2026-05-01,1934,Aqua,MODIS,60,6.1NRT,290.29,5.11,N
0.68043,117.56682,303.08,1.01,1,2026-05-01,1934,Aqua,MODIS,53,6.1NRT,288.16,4.11,N
-1.8948,115.86583,300.73,1.01,1.01,2026-05-01,1934,Aqua,MODIS,33,6.1NRT,284.14,3.26,N
-8.1111,112.92694,301.14,1.15,1.07,2026-05-01,1936,Aqua,MODIS,38,6.1NRT,282.23,8.51,N
0.50581,127.89604,313.31,1.05,1.02,2026-05-02,0026,Terra,MODIS,60,6.1NRT,294.37,9.02,D
-1.45833,127.44189,317.06,1.05,1.02,2026-05-02,0026,Terra,MODIS,0,6.1NRT,288.26,11.91,D
-6.82386,105.44033,304.08,1.76,1.3,2026-05-02,0206,Terra,MODIS,0,6.1NRT,286.38,4.69,D
-2.92494,104.68752,303.43,1.36,1.15,2026-05-02,0206,Terra,MODIS,40,6.1NRT,275.77,4.5,D
-8.11342,112.92422,306.12,1.03,1.01,2026-05-02,0750,Aqua,MODIS,46,6.1NRT,289.24,7.92,D
-7.24116,111.73557,311.25,1.12,1.05,2026-05-02,0752,Aqua,MODIS,48,6.1NRT,296.25,6.4,D
-1.56466,112.91893,312.88,1,1,2026-05-02,0752,Aqua,MODIS,65,6.1NRT,295.65,5.96,D
-1.95055,112.99165,313.39,1,1,2026-05-02,0752,Aqua,MODIS,65,6.1NRT,296.22,6.12,D
-3.42563,104.43337,309.76,3.39,1.74,2026-05-02,0752,Aqua,MODIS,60,6.1NRT,288.9,27.28,D
-2.65882,112.20291,310.3,1.01,1,2026-05-02,0752,Aqua,MODIS,51,6.1NRT,295.23,4.29,D
1.68849,117.19164,307.78,1.48,1.2,2026-05-02,1246,Terra,MODIS,72,6.1NRT,292.93,9.78,N
-2.57702,121.37665,304.24,1.01,1.01,2026-05-02,1246,Terra,MODIS,59,6.1NRT,276.54,8.99,N
0.75276,117.07422,315.23,1.57,1.23,2026-05-02,1246,Terra,MODIS,91,6.1NRT,277.21,27.75,N
0.74688,117.08263,300.52,1.56,1.23,2026-05-02,1246,Terra,MODIS,18,6.1NRT,276.35,9.44,N
0.74492,117.06901,310.53,1.57,1.23,2026-05-02,1246,Terra,MODIS,80,6.1NRT,276.26,20.71,N
1.66744,117.19482,310.7,1.48,1.2,2026-05-02,1246,Terra,MODIS,81,6.1NRT,293.1,13.27,N
1.6867,117.17862,311.33,1.49,1.2,2026-05-02,1246,Terra,MODIS,82,6.1NRT,292.86,14.26,N
1.6831,117.1861,314.01,1.48,1.2,2026-05-02,1246,Terra,MODIS,88,6.1NRT,293.07,17.91,N
2.20454,117.23784,306.01,1.45,1.19,2026-05-02,1249,Terra,MODIS,66,6.1NRT,294.02,7.77,N
-2.00927,121.41372,308.54,1.82,1.32,2026-05-03,0107,Terra,MODIS,63,6.1NRT,291.6,11.57,D
-2.01147,121.42958,306.85,1.82,1.32,2026-05-03,0107,Terra,MODIS,60,6.1NRT,290.26,8.72,D
-2.5787,121.37667,330.05,1.85,1.33,2026-05-03,0107,Terra,MODIS,86,6.1NRT,291.12,62.05,D
-2.58107,121.39362,307.18,1.85,1.33,2026-05-03,0107,Terra,MODIS,61,6.1NRT,290.48,9.18,D
-3.00232,120.19632,312.48,1.52,1.22,2026-05-03,0107,Terra,MODIS,37,6.1NRT,293.62,10.77,D
-2.01888,121.41117,310.1,2.26,1.46,2026-05-03,0652,Aqua,MODIS,28,6.1NRT,292.84,17.16,D
4.18126,117.35735,312.87,3.75,1.81,2026-05-03,0654,Aqua,MODIS,0,6.1NRT,288.94,46.53,D
-0.78193,102.23237,308.56,1.01,1.01,2026-05-03,0830,Aqua,MODIS,56,6.1NRT,287.86,4.26,D
-0.7858,102.20598,307.05,1.01,1.01,2026-05-03,0830,Aqua,MODIS,49,6.1NRT,286.88,3.34,D
-1.89392,115.86198,312.55,1.42,1.18,2026-05-03,1327,Terra,MODIS,85,6.1NRT,288.67,17.13,N
1.95175,109.52582,309.95,1.09,1.04,2026-05-03,1327,Terra,MODIS,69,6.1NRT,292.74,8.49,N
1.95042,109.51629,306.11,1.09,1.04,2026-05-03,1327,Terra,MODIS,41,6.1NRT,292.8,5.54,N
-1.46515,127.43932,311.33,1.41,1.17,2026-05-04,0009,Terra,MODIS,0,6.1NRT,287.13,9.89,D
-1.45476,127.44049,313.23,1.41,1.17,2026-05-04,0009,Terra,MODIS,0,6.1NRT,287.07,12.56,D
-4.2308,104.89371,303.44,1.03,1.01,2026-05-04,0147,Terra,MODIS,32,6.1NRT,279.26,4.25,D
-4.23211,104.90275,304.17,1.03,1.01,2026-05-04,0147,Terra,MODIS,44,6.1NRT,278.57,4.55,D
-9.36997,119.9865,320.31,1,1,2026-05-04,0729,Aqua,MODIS,67,6.1NRT,299.48,12.39,D
-9.37128,119.97765,311.56,1,1,2026-05-04,0729,Aqua,MODIS,51,6.1NRT,298.35,4.89,D
-5.04781,119.52695,317.21,1.01,1.01,2026-05-04,0729,Aqua,MODIS,73,6.1NRT,296.46,7.04,D
-2.58555,121.37384,333.61,1.27,1.12,2026-05-04,0729,Aqua,MODIS,87,6.1NRT,291.72,43.94,D
1.32784,118.38999,314.7,1.02,1.01,2026-05-04,0731,Aqua,MODIS,69,6.1NRT,295.07,9.31,D
1.32655,118.38112,310.01,1.02,1.01,2026-05-04,0731,Aqua,MODIS,35,6.1NRT,294.49,5.78,D
1.44289,117.97369,311.72,1.01,1,2026-05-04,0731,Aqua,MODIS,62,6.1NRT,290.74,6.53,D
1.35744,117.0256,318.15,1.01,1,2026-05-04,0731,Aqua,MODIS,55,6.1NRT,296.02,10.83,D
1.66375,118.03644,314.9,1.01,1,2026-05-04,0731,Aqua,MODIS,46,6.1NRT,297.41,5.91,D
